City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
146,Coquimbo,CL,2022-01-30 22:55:45,-29.9533,-71.3436,67.73,72,0,13.8,clear sky,0,0
147,Sitka,US,2022-01-30 22:55:46,57.0531,-135.33,36.52,93,100,2.37,overcast clouds,0,0
148,Komsomolskiy,UZ,2022-01-30 22:53:00,40.4272,71.7189,29.62,86,100,2.3,mist,0,0
149,Peniche,PT,2022-01-30 22:55:46,39.3558,-9.3811,57.09,76,13,8.05,few clouds,0,0
150,Panaba,MX,2022-01-30 22:55:47,21.2833,-88.2667,69.31,54,65,9.48,broken clouds,0,0
151,Smithers,CA,2022-01-30 22:55:48,54.7804,-127.1743,32.32,80,75,3.44,broken clouds,0,0
152,Sao Filipe,CV,2022-01-30 22:55:48,14.8961,-24.4956,71.51,71,99,13.85,overcast clouds,0,0
153,Los Llanos De Aridane,ES,2022-01-30 22:55:49,28.6585,-17.9182,58.75,78,0,5.99,clear sky,0,0
154,Lexington,US,2022-01-30 22:52:50,37.9887,-84.4777,43.92,52,0,6.91,clear sky,0,0
155,Berlevag,NO,2022-01-30 22:55:50,70.8578,29.0864,30.29,65,100,11.7,light snow,0,0
156,Saint-Augustin,CA,2022-01-30 22:55:37,51.226,-58.6502,15.15,84,99,36.31,overcast clouds,0,0
157,Yellowknife,CA,2022-01-30 22:55:50,62.456,-114.3525,-6.59,83,75,8.05,light snow,0,0
158,Klaksvik,FO,2022-01-30 22:55:51,62.2266,-6.589,36.52,67,100,39.48,overcast clouds,0,0
159,Iranshahr,IR,2022-01-30 22:55:52,27.2025,60.6848,60.75,57,0,2.08,clear sky,0,0
160,Esperance,AU,2022-01-30 22:52:12,-33.8667,121.9,66.04,80,38,16.6,scattered clouds,0,0
161,Colares,PT,2022-01-30 22:55:53,38.7992,-9.4469,57.88,40,0,5.01,clear sky,0,0
162,Evensk,RU,2022-01-30 22:55:53,61.95,159.2333,20.19,78,100,23.42,overcast clouds,0,0
163,Cabo San Lucas,MX,2022-01-30 22:52:08,22.8909,-109.9124,78.62,67,83,3.0,broken clouds,0,0
164,Antofagasta,CL,2022-01-30 22:55:55,-23.65,-70.4,69.08,78,16,7.87,few clouds,0,0
165,Ixtapa,MX,2022-01-30 22:53:35,20.7,-105.2,83.37,39,5,5.14,clear sky,0,0
166,Mar Del Plata,AR,2022-01-30 22:55:56,-38.0023,-57.5575,66.87,84,75,15.01,broken clouds,0,0
167,Buala,SB,2022-01-30 22:55:56,-8.145,159.5921,83.84,74,99,5.06,light rain,0,0
168,Parana,AR,2022-01-30 22:55:57,-31.732,-60.5238,79.47,59,0,2.24,clear sky,0,0
169,Altay,CN,2022-01-30 22:55:57,47.8667,88.1167,3.74,54,40,7.25,scattered clouds,0,0
170,Norman Wells,CA,2022-01-30 22:55:58,65.282,-126.8329,-25.56,68,75,0.0,light snow,0,0
171,Karratha,AU,2022-01-30 22:55:59,-20.7377,116.8463,83.79,60,69,17.11,broken clouds,0,0
172,Asifabad,IN,2022-01-30 22:55:59,19.3667,79.2833,62.73,28,0,1.72,clear sky,0,0
173,Dongsheng,CN,2022-01-30 22:56:00,39.8161,109.9776,6.96,48,0,16.78,clear sky,0,0
174,Bethel,US,2022-01-30 22:56:00,41.3712,-73.414,22.77,55,22,2.82,few clouds,0,0
175,Nanortalik,GL,2022-01-30 22:56:01,60.1432,-45.2371,17.73,83,100,23.31,snow,0,0
176,Hamilton,US,2022-01-30 22:55:36,39.1834,-84.5333,37.18,71,22,4.63,few clouds,0,0
177,Merauke,ID,2022-01-30 22:55:05,-8.4667,140.3333,80.46,78,99,5.35,overcast clouds,0,0
178,Noumea,NC,2022-01-30 22:56:02,-22.2763,166.4572,84.18,99,100,9.69,overcast clouds,0,0
179,Ternate,ID,2022-01-30 22:53:00,0.8,127.4,80.11,77,100,10.13,overcast clouds,0,0
180,Liverpool,GB,2022-01-30 22:56:03,53.4106,-2.9779,47.28,78,75,15.99,broken clouds,0,0
181,Qingdao,CN,2022-01-30 22:56:04,36.0986,120.3719,29.8,80,8,8.95,clear sky,0,0
182,Malyye Derbety,RU,2022-01-30 22:56:04,47.9547,44.6808,29.39,93,89,9.6,light snow,0,0
183,Camopi,GF,2022-01-30 22:56:05,3.1655,-52.3158,71.65,99,46,2.68,scattered clouds,0,0
184,Kimbe,PG,2022-01-30 22:56:05,-5.5502,150.1429,80.78,83,100,3.11,light rain,0,0
